UNITID,LAT,LNG
152336,41.0878185,-85.177343
152363,40.9192838,-87.1550075
152381,39.50714,-87.4607139
152390,41.7073021,-86.2572448
152497,40.4264762,-86.8810877
152530,40.4579819,-85.4977866
152600,41.4602103,-87.03665939999999
152637,38.6878205,-87.5215703
152673,40.0359521,-86.90474499999999
152992,42.5263769,-96.4281821
153001,42.6419535,-95.2073401
153074,42.4973392,-90.6655574
153126,42.5101836,-90.6922883
153144,41.9885896,-91.65739769999999
153162,41.9245718,-91.42376519999999
153171,42.0152688,-92.9150598
153241,42.4408174,-90.9323963
153250,43.0815865,-96.16988260000001
153302,42.5105975,-90.70558779999999
153320,41.7370765,-93.62447159999999
153339,42.65379859999999,-95.2014267
153366,40.6163357,-93.9231008
153375,41.6208228,-93.6043665
153384,41.7469499,-92.7230514
153418,41.9495256,-91.7135902
153597,41.624764,-93.7118995
153603,42.0261746,-93.64844049999999
153621,40.9730492,-91.5521191
153658,41.6618822,-91.5365051
153746,42.5143264,-92.4336882
153764,41.6607434,-93.7386691
153782,42.5001796,-94.16348239999999
153834,43.3138827,-91.8070017
153861,41.0177122,-91.96728329999999
154004,42.4746152,-96.35970069999999
154013,42.002547,-91.652073
154095,42.514711,-92.45956810000001
154101,42.9979504,-96.05741300000001
154165,41.0233459,-92.4178606
154332,41.5728377,-90.56815569999999
154341,41.6467529,-91.5327951
154350,41.3658787,-93.5651694
154448,41.5751989,-90.53885509999999
154493,42.8385298,-91.80134790000001
154527,42.7275813,-92.4811216
154545,42.4961737,-92.3353753
154590,41.3089163,-92.6476148
154712,39.5749378,-95.11320239999999
154721,38.5800347,-97.6744192
154749,38.0749222,-97.34131769999999
154776,38.8052286,-97.6138786
154855,38.3571079,-97.667717
155007,39.1122642,-94.6507259
155061,38.8731404,-99.34021039999999
155070,37.6209975,-99.1043105
155089,37.6776378,-97.3665188
155177,38.1345466,-97.4339328
155210,38.9243379,-94.726621
155283,39.06803,-94.58972
155317,38.958542,-95.2476138
155335,37.6714715,-97.3770225
155399,39.18862439999999,-96.5810747
155414,38.8134816,-97.6093619
155496,39.1860646,-96.57881760000001
155520,38.8742486,-94.7846711
155627,38.6029423,-95.2637339
155812,39.2783084,-94.9063137
155900,37.2500656,-96.97586290000001
155937,38.2199287,-98.20708189999999
156213,37.8628325,-84.6627336
156277,37.8663142,-84.58053970000002
